,index,Year,Seed1,Seed2,Round,G1,FG1,FGA1,FG%1,FT1,FTA1,FT%1,TRB1,AST1,STL1,BLK1,TOV1,PF1,PTS1,G2,FG2,FGA2,FG%2,FT2,FTA2,FT%2,TRB2,AST2,STL2,BLK2,TOV2,PF2,PTS2,2P1,2PA1,2P%1,3P1,3PA1,3P%1,2P2,2PA2,2P%2,3P2,3PA2,3P%2,ORB1,DRB1,ORB2,DRB2,winner
2360,0,2000,1,16,0,34,30.7,63.9,0.481,18.2,24.5,0.742,38.6,17.2,9.8,5.6,14.1,16.2,88,31,21.7,55.6,0.39,12.5,18.3,0.686,36.4,13.2,7.3,2.8,15.7,17.1,62.9,22.4,42.1,0.532,8.4,21.8,0.383,14.7,34.9,0.421,7,20.7,0.336,13.3,25.3,12.3,24.1,Team1
2362,2,2000,8,9,0,34,30.7,66.7,0.46,12.6,19.4,0.65,44.3,18.5,9.2,5.5,17.3,21.3,78.7,33,26.6,58.6,0.453,13.3,19.8,0.669,39.5,15,8.1,3.8,16.3,18.1,72.3,26,53.1,0.49,4.7,13.6,0.343,20.7,41.6,0.497,5.9,17.1,0.346,16.6,27.7,15.7,23.8,Team1
2364,4,2000,5,12,0,37,29.8,62.1,0.48,17,23.9,0.71,39.2,16.5,9.9,3.8,16.4,20.3,83.8,31,24.3,51.6,0.471,14.5,21.9,0.659,34,13.9,7.6,2.8,12.6,16.5,68,22.6,42.4,0.535,7.2,19.8,0.363,19.4,38.5,0.503,4.9,13.1,0.377,14.5,24.7,10.4,23.6,Team1
2366,6,2000,4,13,0,32,26.1,60.2,0.433,16.4,23.8,0.688,36.8,15.6,9.3,3.7,14.3,19.3,75.8,29,24.4,54,0.452,11.7,18.1,0.644,36.4,15,5.4,4.1,12.7,16.4,67,18.8,39.8,0.474,7.2,20.4,0.354,17.9,35.4,0.504,6.5,18.6,0.351,12.4,24.4,10.7,25.7,Team1
2368,8,2000,6,11,0,29,28,58.5,0.478,17.4,24.5,0.709,38.9,16.1,7.5,4.9,14.6,18.1,77.7,34,27.3,61.6,0.444,11.4,17,0.669,38.1,14.5,9.4,2.9,14.8,19.4,73,23.6,46.9,0.503,4.4,11.6,0.378,20.4,41.4,0.492,7,20.2,0.344,11.3,27.6,12.4,25.7,Team2
2370,10,2000,3,14,0,34,27.4,57.2,0.479,15.8,22.6,0.701,38.6,18.9,7.6,3.6,14.2,17,77.1,31,26.7,58.5,0.456,13.8,20.1,0.687,36.3,14,8.7,3.9,13.4,18.2,74.4,21.1,40.8,0.517,6.4,16.4,0.386,19.4,38.3,0.508,7.3,20.2,0.359,11.6,27,12.6,23.7,Team1
2372,12,2000,7,10,0,30,26.9,57.4,0.469,16,21.5,0.745,34.6,16.4,6.9,2.9,15.6,19.7,75.6,32,25.2,58.3,0.433,13.5,19.9,0.678,37.8,14.3,7,6.2,14.9,17.2,71.7,21.2,39,0.544,5.7,18.4,0.312,17.4,36.9,0.472,7.8,21.4,0.365,11.2,23.4,13.5,24.4,Team2
2374,14,2000,2,15,0,33,23.9,58,0.413,12.3,18.8,0.656,39,14.3,9.5,4.2,9.8,13.9,68.5,31,25,55,0.454,15.6,21.7,0.719,35.8,15.3,10.1,3.4,16.1,18,73.5,15.6,34.1,0.458,8.3,23.8,0.348,16.9,34.4,0.493,8,20.6,0.39,15.1,23.9,11,24.7,Team1
2376,16,2000,1,8,1,34,30.7,63.9,0.481,18.2,24.5,0.742,38.6,17.2,9.8,5.6,14.1,16.2,88,34,30.7,66.7,0.46,12.6,19.4,0.65,44.3,18.5,9.2,5.5,17.3,21.3,78.7,22.4,42.1,0.532,8.4,21.8,0.383,26,53.1,0.49,4.7,13.6,0.343,13.3,25.3,16.6,27.7,Team1
2378,18,2000,5,4,1,37,29.8,62.1,0.48,17,23.9,0.71,39.2,16.5,9.9,3.8,16.4,20.3,83.8,32,26.1,60.2,0.433,16.4,23.8,0.688,36.8,15.6,9.3,3.7,14.3,19.3,75.8,22.6,42.4,0.535,7.2,19.8,0.363,18.8,39.8,0.474,7.2,20.4,0.354,14.5,24.7,12.4,24.4,Team1
2380,20,2000,11,3,1,34,27.3,61.6,0.444,11.4,17,0.669,38.1,14.5,9.4,2.9,14.8,19.4,73,34,27.4,57.2,0.479,15.8,22.6,0.701,38.6,18.9,7.6,3.6,14.2,17,77.1,20.4,41.4,0.492,7,20.2,0.344,21.1,40.8,0.517,6.4,16.4,0.386,12.4,25.7,11.6,27,Team2
2382,22,2000,10,2,1,32,25.2,58.3,0.433,13.5,19.9,0.678,37.8,14.3,7,6.2,14.9,17.2,71.7,33,23.9,58,0.413,12.3,18.8,0.656,39,14.3,9.5,4.2,9.8,13.9,68.5,17.4,36.9,0.472,7.8,21.4,0.365,15.6,34.1,0.458,8.3,23.8,0.348,13.5,24.4,15.1,23.9,Team1
2384,24,2000,1,5,2,34,30.7,63.9,0.481,18.2,24.5,0.742,38.6,17.2,9.8,5.6,14.1,16.2,88,37,29.8,62.1,0.48,17,23.9,0.71,39.2,16.5,9.9,3.8,16.4,20.3,83.8,22.4,42.1,0.532,8.4,21.8,0.383,22.6,42.4,0.535,7.2,19.8,0.363,13.3,25.3,14.5,24.7,Team2
